(27d,353) (175,353)
(ad,a43) (1b5,a43)
(47,2c9) (fb,2c9)
(1679,2105) (641,2105)
(16f,2b9) (8f,2b9)
(fa3,1123) (5bb,1123)
(f7f,1ba9) (c7f,1ba9)
(1129,1c91) (511,1c91)
(173,131b) (81b,131b)
(12b,3d3) (103,3d3)
(901,9e9) (30d,9e9)
(2b,2a7) (43,2a7)
(24b,2ad1) (1163,2ad1)
(475,521) (3d,521)
(daf,ee3) (ef,ee3)
(131,217) (39,217)
(25f,317) (1f,317)
(dab,125b) (283,125b)
(7f,1c3) (3f,1c3)
(a1,2a7) (a1,2a7)
(4c7,1a4b) (86f,1a4b)
(1df,10f7) (2cf,10f7)
(15d,80b) (275,80b)
(bab,eb3) (233,eb3)
(211,331) (175,331)
(275,391) (f9,391)
(17,66b) (197,66b)
(9,52) (9,52)
(f1,30d) (3d,30d)
(c43,20bf) (bf3,20bf)
(3a1,2b01) (df1,2b01)
(b29,18a9) (bad,18a9)
(14f,227) (a7,227)
(1f,fd) (47,fd)
(b5,263) (3d,263)
(1b7,12fb) (607,12fb)
(415,afd) (1bd,afd)
(9a3,ccd) (4b,ccd)
(1973,1c87) (773,1c87)
(4bd,1a4b) (5ad,1a4b)
(3fb,a3f) (30b,a3f)
(11f3,13a5) (5f7,13a5)
(1d3,2645) (edb,2645)
(1e43,2731) (40f,2731)
(3e5,661) (ad,661)
(359,cdd) (149,cdd)
(e5d,24a3) (655,24a3)
(305,487) (c5,487)
(106f,1f2b) (157,1f2b)
(a57,ca1) (157,ca1)
(761,1c91) (aa9,1c91)
(e27,18af) (557,18af)
(2ed,cf5) (5bd,cf5)
(2689,292d) (d39,292d)
(1fbb,21b9) (1073,21b9)
(443,8f3) (443,8f3)
(c5,1a0b) (a2d,1a0b)
(2cb,104b) (223,104b)
(9ef,1123) (34f,1123)
(263,2ff) (83,2ff)
(1a3,5b1) (167,5b1)
(713,a0d) (407,a0d)
(385,9e9) (49,9e9)
(781,2d8f) (1411,2d8f)
(d,20f) (25,20f)
(1d9,2c3) (89,2c3)
(4c5,6b5) (30d,6b5)
(377,f1d) (467,f1d)
(a3f,1165) (43f,1165)
(7f9,c43) (469,c43)
(241,42b) (c1,42b)
(4e1,f61) (5d1,f61)
